xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
0 0 0 0 0 0 0
-0.000579853 0.0258554 0.242376 -0.41356 0.155258 -0.232572 0.01
-0.00213414 0.0986836 0.456994 -0.784634 0.597851 -0.882403 0.02
-0.00457609 0.215448 0.637513 -1.10505 1.31079 -1.92093 0.03
-0.00781264 0.370361 0.785778 -1.37833 2.25687 -3.29855 0.04
-0.0117586 0.557515 0.9064 -1.61069 3.39745 -4.96527 0.05
-0.0163375 0.771696 1.00403 -1.80819 4.69855 -6.87689 0.06
-0.0214809 1.00848 1.08271 -1.97619 6.13157 -8.99569 0.07
-0.0271278 1.26417 1.14585 -2.1192 7.67274 -11.2898 0.08
-0.0332239 1.53565 1.19626 -2.24107 9.30241 -13.7323 0.09
-0.0397208 1.82032 1.23626 -2.34504 11.0043 -16.3005 0.1
-0.0465756 2.11602 1.26779 -2.43383 12.7651 -18.9752 0.11
-0.0537499 2.42094 1.29242 -2.50974 14.5738 -21.7404 0.12
-0.0612099 2.73357 1.31147 -2.57472 16.4211 -24.5824 0.13
-0.0689251 3.05263 1.326 -2.6304 18.2997 -27.4897 0.14
-0.0768688 3.37707 1.3369 -2.67818 20.2034 -30.4526 0.15
-0.0850167 3.706 1.34489 -2.71922 22.1272 -33.4628 0.16
-0.0933476 4.03869 1.35057 -2.75452 24.067 -36.5134 0.17
-0.101842 4.37452 1.35441 -2.78492 26.0194 -39.5984 0.18
-0.110484 4.71297 1.35682 -2.81114 27.9817 -42.7129 0.19
-0.119256 5.05362 1.3581 -2.83377 29.9517 -45.8526 0.2
-0.128147 5.3961 1.35852 -2.85333 31.9276 -49.0139 0.21
-0.137143 5.74011 1.35829 -2.87027 33.9079 -52.1937 0.22
-0.146234 6.08539 1.35757 -2.88494 35.8915 -55.3894 0.23
-0.15541 6.43175 1.3565 -2.89768 37.8775 -58.5988 0.24
-0.164662 6.779 1.35518 -2.90874 39.865 -61.82 0.25
-0.173982 7.127 1.3537 -2.91837 41.8537 -65.0513 0.26
-0.183364 7.47562 1.35213 -2.92675 43.8429 -68.2914 0.27
-0.1928 7.82476 1.35051 -2.93406 45.8324 -71.5391 0.28
-0.202286 8.17434 1.34888 -2.94044 47.8219 -74.7933 0.29
-0.211815 8.52428 1.34728 -2.94601 49.8111 -78.0532 0.3
-0.221385 8.87453 1.34572 -2.95089 51.8 -81.318 0.31
-0.23099 9.22503 1.34422 -2.95516 53.7884 -84.587 0.32
-0.240626 9.57575 1.34279 -2.95891 55.7763 -87.8599 0.33
-0.250292 9.92664 1.34144 -2.9622 57.7637 -91.1359 0.34
-0.259983 10.2777 1.34017 -2.96509 59.7504 -94.4148 0.35
-0.269697 10.6288 1.33898 -2.96763 61.7365 -97.6961 0.36
-0.279431 10.9801 1.33787 -2.96987 63.7221 -100.98 0.37
-0.289184 11.3315 1.33685 -2.97184 65.707 -104.265 0.38
-0.298954 11.6829 1.3359 -2.97358 67.6914 -107.552 0.39
-0.308738 12.0344 1.33503 -2.97511 69.6753 -110.84 0.4
-0.318536 12.3859 1.33422 -2.97646 71.6586 -114.13 0.41
-0.328346 12.7375 1.33348 -2.97767 73.6415 -117.421 0.42
-0.338166 13.0891 1.33281 -2.97872 75.6239 -120.713 0.43
-0.347997 13.4408 1.33219 -2.97966 77.6059 -124.005 0.44
-0.357835 13.7924 1.33163 -2.98049 79.5875 -127.299 0.45
-0.367682 14.1441 1.33112 -2.98123 81.5688 -130.593 0.46
-0.377535 14.4958 1.33065 -2.98188 83.5497 -133.888 0.47
-0.387395 14.8475 1.33023 -2.98246 85.5303 -137.183 0.48
-0.39726 15.1993 1.32985 -2.98298 87.5106 -140.479 0.49
-0.40713 15.551 1.3295 -2.98344 89.4907 -143.775 0.5
-0.417004 15.9028 1.32918 -2.98384 91.4705 -147.071 0.51
-0.426883 16.2545 1.3289 -2.9842 93.4501 -150.368 0.52
-0.436765 16.6063 1.32864 -2.98453 95.4296 -153.665 0.53
-0.44665 16.9581 1.32841 -2.98481 97.4088 -156.962 0.54
-0.456539 17.3098 1.3282 -2.98507 99.3879 -160.26 0.55
-0.463402 17.6357 1.33587 -2.33171 101.374 -163.161 0.56
-0.466589 17.9157 1.34864 -1.73839 103.262 -165.474 0.57
-0.466456 18.1522 1.37294 -1.21847 105.045 -167.239 0.58
-0.46334 18.3509 1.40876 -0.765914 106.743 -168.521 0.59
-0.457547 18.5178 1.45346 -0.372363 108.38 -169.386 0.6
-0.449348 18.6579 1.50424 -0.0299136 109.978 -169.891 0.61
-0.438991 18.7757 1.55876 0.268381 111.551 -170.084 0.62
-0.426696 18.8748 1.61516 0.528506 113.114 -170.007 0.63
-0.41266 18.9583 1.67201 0.75561 114.676 -169.698 0.64
-0.397064 19.0287 1.72823 0.954106 116.244 -169.186 0.65
